Kor,Eng
으음... 지금은 좀 상황이 이러니 힘들겠지만! 나중에 우리 같이 공원 데이트도 하고 수족관도 가고.... 또 바다!\n바다도 가자!,Hmm... I know it’s tough with how things are right now` but! Later` let’s go on a date at the park together` go to the aquarium... and the beach!\nLet’s go to the beach` too!
아...그러고 보니,Ah... come to think of it
방에 붙어있는 저 포스터도 바다였었지?,That poster on the wall was of the ocean too` wasn’t it?
아~! 맞아 저 포스터!,Oh! Right` that poster!
우연이 칼을 가져와서 포스터를 뜯고 뒷 부분을 보여준다.,Accidy brings a knife` rips down the poster` and reveals the back.
포스터에 뒷부분엔 베스트 데이트 코스라고 적혀 있었다.,"The bottom of the poster read ""Best Date Course."""
여기 엄청 유명한 데이트 코스라고 하거든!,They say this is a super popular date spot!
꼭...꼭...둘이서 가보고 싶어!\n내 소원이야!,I really... really want to go` just the two of us!\nThat's my wish!
이룰 수 있으면 좋겠네.,It’d be nice if we could make it happen.
응!,Yeah!
뭐`나랑은 상관없는 얘기겠지만.,Well` it's probably none of my business` though.
벌써 귀가시간인가?,Is it time to go home already?
우연과 함께 지낸지 어느 덧 4일째이다.,Before I knew it` today marks the fourth day I’ve been living with Accidy.
슬슬 긴장이 풀리는 건지 이젠 잠도 잘 오는 것 같다.,Maybe my nerves are finally easing; now I can fall asleep easily.
졸려....,I'm sleepy....
{PlayerName}!! 나 왔어! 나 어째 열쇠랑 키링을 잃어버린 것...,{PlayerName}!! I'm here! I think I somehow lost my keys and keychain...
뭐야...벌써 자?,What... Are you already asleep?
할 수 없지....\n잘 자...,Can't be helped....\nGood night...
죄송해요.\n죄송해요.,I'm sorry.\nI'm sorry.
왜 하필 너 같은 게 태어나서!!!,Why did something like you have to be born!!!
너 때문에 교주님을 뵐 면목이 없는 거 알아?,Do you realize I’m too ashamed to face the cult leader because of you?
죄송해요...\n죄송해요....,I'm sorry...\nI'm sorry....
이런 애 따위 태어나지 않는 게 좋았을 텐데.,It would have been better if a kid like this had never been born.
쯧\n왜 하필 태어나도....,Tsk\nWhy did it have to be born` of all things....
죄송해요....\n죄송해요....,I'm sorry....\nI'm sorry....
꿈에 우연과...다른 누군가들이 나왔다.\n며칠 동안 우연만 봤더니 우연이 꿈에 나온 걸까.,Accidy and... others appeared in my dream.\nMaybe Accidy showed up in my dream because I've only been seeing Accidy for the past few days.
...괜히 찝찝한 꿈을 꿨잖아.,...I had a creepy dream for no reason.
...\n...\n...,...\n...\n...
다녀올게!\n얌전히 있어!,I'll be back!\nStay put!
우연이 나갔다.,Accidy has left.
오늘도 우연이 귀가 전까지 무리하지 말고 방을 살펴보자,Let's not overdo it; just inspect the room until Accidy gets home today.
우연의 옷장이다.,It's Accidy's wardrobe.
옷장 내부가 마구 더럽혀져 있다.,The inside of the wardrobe is smeared all over with filth.
옷장 밑도 열리는 것 같았는데....\n살펴볼까?,It seemed like the bottom of the wardrobe could open` too....\nShould I take a look?
우연이 방에 떨어뜨리고 간 열쇠다.\n전에 자랑하던 곰인형 키링이 달려 있다.,It’s the key Accidy dropped in the room and left behind.\nIt’s got the teddy bear keyring Accidy used to brag about.
자세히 보니 열쇠가 조금 바뀐 것 같아 보인다.,On closer inspection` the key looks slightly altered.
키링만 그대로인가?,Is it only the keyring that's still the same?
우선 챙겨두자.,Let's hold onto it for now.
가방이 구석에 틀어박혀 있다.,The bag is shoved into the corner.
이젠 외출하고 나서 가방 정리도 안 하는 건가?,So now you don't even bother to tidy your bag after going out?
중요해보이는 것은 없으니 다시 제자리에 냅두자.,There doesn’t seem to be anything important` so let’s put it back where it was.
많은 다양한 컨셉의 카페 명함이다.,Business cards from many different themed cafes.
딱히 신경 쓰진 않는 듯 마구잡이로 놓여져 있다.,They’ve been left haphazardly` as if no one really cared.
이런 건 길거리에서 나눠주는 건가?,Is this the kind of thing they hand out on the street?
이런 걸 신경 쓸 시간은 없으니 제자리에 두자.,We don't have time to worry about this—put it back where it belongs.
옷과 쇼핑백이 마구잡이로 섞여 있다.,Clothes and shopping bags are haphazardly mixed together.
외출해서 사거나 입었던 옷들을 제대로 정리하지 않는 것 같다.,It seems they don’t properly put away the clothes they buy or wear after going out.
...건들면 티가 날테니 그냥 가만히 냅두자.,...It’ll be obvious if we tamper with it` so let’s just leave it alone.
밑 서랍은 열어볼 생각이 없었는데,I hadn’t planned to open the bottom drawer.
그래도 한 번 조사해보자.,Still` let's investigate.
옷이 마구잡이로 뒤섞여 있다.,The clothes are jumbled together.
제대로 개지 않고 넣어두는건가?,Are you just going to put it away without folding it properly?
우연을 몰래 따라다닌 걸 걸리고 나서 나는 우연과 함께 귀가했다.,After I was caught secretly following Accidy` I returned home with Accidy.
우연은 약 일주일 동안 내 곁을 떠나지 않았다.,Accidy did not leave my side for about a week.
잠시라도 내가 떨어지려하면 계속 옆에 붙으려 했다.,Whenever I tried to pull away` even for a moment` they kept clinging to my side.
전보다 불안함을 더 많이 느끼는 것 같았지...,It seemed like you were feeling more anxious than before...
옆에서 말리려 해도 딱히 내 말을 듣지도 않고...,Even when I try to stop them` they don’t really listen to me...
우리 함께 한 지 얼마나 됐지?,How long have we been together?
아` 미안 모르려나?,Ah` sorry` maybe you don't know?
어...현실이지?,Uh... this is real` right?
아닌가...꿈인가...,Maybe not... Is this a dream...?
알 수 없는 말도 자주 내뱉고...,They also often blurt out things I can’t understand...
우연의 정신이 점점 더 위험해지는 것 같다.,Accidy’s mental state seems to be getting more and more dangerous.
이상 오래 머물다 보면...\n정말 위험할지도 몰라....,If we stay any longer...\nIt could get really dangerous....
다시 단서들을 모아야 할 것 같은데...,Looks like I need to gather the clues again...
오늘 날짜가....어...벌써 28일이네...,Today's date is.... uh... it's already the 28th...
진짜 얼마 안 남았잖아...어떡하지...,There's really not much time left... What do I do...
그치만... 아직 확인하지 못한 것들이 있는데....,But... there are still things I haven't checked yet....
거기다 방에 남아 있어도....\n...아 꿈인가...\n아니야....확인했잖아.,On top of that` even if I stay in the room....\n...Ah` was it a dream...\nNo.... I checked` didn't I.
저기 우연...?,Um` Accidy...?
우연은 강박적으로 계속 확인할 게 남았다는 말을 중얼거렸다.,Accidy kept compulsively muttering that there was still something left to check.
그러고는 어지럽혀진 방을 몇 번 돌며 이것저것 확인하는 듯 했다.,Then they circled the ransacked room a few times` as if checking one thing after another.
위...위험한건 없어 보이는데....\n정말 꿈...은 아니겠지...?,I-it doesn’t look like there’s anything dangerous...\nThis isn’t really a dream... is it...?
우연!,Accidy!
어....?\n불렀어?,Huh...?\nDid you call me?
그게...괜찮아...?,Is that... okay...?
응 괜찮아.\n괜찮아야 해.\n아직은...,Yeah` I'm okay.\nI have to be.\nFor now...
진짜 괜찮은 거 맞나?,Are you sure it’s really okay?
아! {PlayerName}...!\n나 오늘부터는 또 나가봐야 해...,Ah! {PlayerName}...!\nStarting today` I need to go out again...
방에 있고 싶은데....\n확인해야 하는 게 있거든....,I want to stay in the room` but....\nThere's something I need to check....
불안해서 참을 수가 없어...,I can't stand it... I'm so anxious.
응...잘 다녀와.,Mm... come back safe.
뭘 확인해야 하는데?,What am I supposed to check?
아...맞다. 나 확인해야 했지...,Ah... right. I was supposed to check...
나가자마자우선현실확인부터해야지또꿈일수도있으니까...집앞에있는신호등이제대로작동하는지도봐야지고쳐달라고몇번을말해도왜안들어주는지모르겠어그신호등때문에도대체몇번을...병원이제대로만들어졌는지도봐야지맨날늦긴해서짜증나지만그래도없는것보단있는게낫잖아....그리고또....,
...우연?\n듣고 있어?,...Accidy?\nAre you listening?
우연은 한참 그렇게 뭔가를 생각하는 듯했다.,Accidy stayed like that` as if thinking about something` for quite a while.
아 미안....!\n별 거 아니야.,Ah` sorry...!\nIt’s nothing.
우연이 웃으며 특유의 다정한 톤으로 대답했다.,Accidy replied with a smile` in that signature gentle tone.
언제 봐도 저 감정 기복은 적응이 안 된다.,I can never get used to those mood swings.
다녀올게!\n얌전히 있어!,I'll be back!\nStay put!
꼭 약속한 거야?,You really promise?
전부 너를 위한 일이니까 꼭 들어줘` 알았지?,It’s all for your sake` so make sure you listen` okay?
우연이 나갔다.,Accidy has left.
다시 방을 조사해 보자.,Let's investigate the room again.
전과 달리 많이 어지러져 있지만 그만큼 다른 단서들도 찾을 수 있을 거야.,It’s much more chaotic than before` but that means we should be able to find other clues as well.
나 왔어!,I'm back!
별 일 없었지?,Nothing unusual happened` right?
응. 별 일 없었어.,Yeah. Nothing happened.
우연은 들어오자마자 대충 짐을 내팽겨치곤 나에게 말을 걸었다.,As soon as Accidy came in` they carelessly flung their stuff down and started talking to me.
이러니까 방이 점점 더러워지지...,This is why the room keeps getting dirtier...
요즘은 머리가 너무 몽롱해.\n뭔가 꿈 속을 걷고 있는 것 같은 기분이야....,Lately my head feels so foggy.\nIt feels like I'm walking in a dream....
확인을 해도 해도 부족해서... 그렇게 오래 걸리지 않을 일들이 너무 오래 걸려서 문제고...,No matter how many times I check` it’s never enough... The problem is` things that shouldn’t take long are taking far too long...
빨리 확인하고 계속 네 곁에 붙어 있고 싶은데....,I want to check quickly and stay close to you` but....
...빼고 다 죽어버렸으면 좋겠다 그냥....,
어?,Huh?
응? 아니 당연히 {PlayerName}은 빼고! ,Huh? No` of course—except for {PlayerName}!
어...응...,Uh... yeah...
죽으라느니 뭐라느니 엄청 쉽게 입에 담네...,You throw around “go die” and whatever like it’s nothing...
{PlayerName}은(는) 죽으면 안 돼.,{PlayerName} must not die.
알았지?\n영원히 내 곁에만 있어야 해♡,Got it?\nYou must stay by my side forever—only me♡
응....,Yeah....
다가와서 눈을 맞추는 우연에 슬쩍 시선을 피하며 대답했다.,As Accidy came closer and met my eyes` I briefly looked away and answered.
우연은 내 대답을 듣고 기쁜 듯 활짝 웃어보였다.,Accidy broke into a bright` pleased smile at my answer.
역시 네가 날 죽이지만 않으면 다행일 것 같은데....,I guess it would be a relief as long as you don't kill me....
아...아침이네....싫다....\n오늘도 일단은 나가야겠지?\n나가기 싫은데....정말 싫은데...,Ah... morning already... I hate this...\nI guess I have to go out again today?\nI don't want to go out... I really don't want to...
{PlayerName}은(는) 아직은 머물겠지...?,Maybe {PlayerName} will stay for now...?
아직 때가 아니니까....응...,Because it's not time yet.... mm-hmm...
응?,Huh?
또 어려운 소리를 중얼거린다.,He mutters incomprehensible words again.
으응 아니야...\n응 오늘도 아침에 제대로 현실인 걸 확인했으니까...,Mm` no...\nYeah` I checked again this morning and made sure it's real...
{PlayerName}도 실제 {PlayerName}(이)가 맞고...,It's true that {PlayerName} is the real {PlayerName}` too...
...빨리 보내야지.,...I’d better send it quickly.
잘 다녀와.,Come back safe.
응 다녀올게!,Yeah` I’ll be back!
아! 진짜!!,Ah! Seriously!!
우연?,Accidy?
우연이 화를 내며 방으로 들어왔다.,Accidy stormed into the room.
사람들은 왜 자꾸 밖에서 담배를 피는 거야?\n금연구역이라고 대놓고 써져 있잖아!!,Why do people keep smoking outside?\nIt’s clearly marked as a no-smoking area!!
진짜 냄새도 냄새인데 라이터 때문에 너무 화가 난단말야!,Seriously` the smell is bad enough` but that lighter is making me so mad!
안 보이는 곳에서 피던가!,If you’re going to smoke` do it where no one can see!
난 불이....불이...,
우연 괜찮아?,Accidy` are you okay?
우연아 진정해 봐.,Accidy` try to calm down.
{PlayerName}...나 진짜 너무 무서웠어...,{PlayerName}... I was so` so scared...
우연은 평소보다도 더 불안해 보였다.,Accidy looked even more anxious than usual.
불에 안 좋은 추억이 있나?,Do you have bad memories of fire?
우선 지금 놀란 것 같으니까...음 이 곰인형이라도 안고 빨리 자는 게 좋을 것 같아.,First` since you seem shaken right now... um` it might be best if you hug this teddy bear and turn in early.
! \n응... 잘 자 {PlayerName}.,! \nMm... Good night` {PlayerName}.
우연은 잠시 놀란 표정을 짓다가 웃으며 대답했다.\n나도 빨리 자야겠다.,Accidy looked startled for a moment` then answered with a smile.\nI should get to bed soon` too.
...\n...\n...,...\n...\n...
내 생일 날에 우리 집에 불이 났었어...,On my birthday` our house caught fire...
근데 다들 나한테 나가지 말라고 그랬어.\n분명 집에 불이 났는데...,But everyone told me not to go out.\nThe house was definitely on fire...
그게 속죄하는 거랬어...,They said that's how you atone...
근데 너무 무서워서 무작정 달려서 도망갔어.,But I was so scared I just ran blindly to get away.
나 잘한 걸까...?,Did I do the right thing...?
응 잘 한 거야.\n항상 나는 네가 너를 위해 살았으면 좋겠어.,Yeah` you did the right thing.\nI always want you to live for yourself.
나를 위해서...고마워 ,For my sake... thank you.
나 [{PlayerName}](이)가 있어서 살 수 있을 것 같아.,I think I can survive because [{PlayerName}] is here.
항상 곁에 있어줘.,Stay by my side` always.
응 항상 곁에 있을게.,Yeah` I’ll always be by your side.
약속이야.,I promise.
응` 약속.,Yeah` Promise.
...\n...\n...,...\n...\n...
또 이상한 꿈...,Another strange dream...
{PlayerName}? ,{PlayerName}?
{PlayerName} 듣고 있어?,Are you listening` {PlayerName}?
어...응?,Uh... yeah?
나 이제 나갈 거라고!\n잘 지내고 있어.,I'm leaving now!\nI'm doing fine.
알았지?\n{PlayerName} 절대 절대 사라지면 안돼!,Got it?\n{PlayerName}` never` ever disappear!
알았어.,Got it.
이제 이런 류의 질문도 익숙해진다.,Even this kind of question is starting to feel familiar now.
우연은 자신을 위해서 살고 있는 건가?\n그런 거 치고 나를 너무 신경 쓰는 것 같은데...,Is Accidy living for their own sake?\nIf that's the case` they seem way too concerned about me...
이상한 꿈 때문인지 우연이 신경 쓰인다.,Maybe it’s because of that strange dream` but I can’t get Accidy out of my head.
...너무 신경쓰지 말자.,...Let's not worry about it too much.
잘 다녀와,Come back safe.
응! 다녀올게!,Okay! I'll be back!
나 왔어....,I'm back....
기운이 없나?,Feeling weak?
아...힘들어.\n사람들 많은 거 너무 싫어....,Ah... I'm exhausted.\nI hate crowds so much....
거기다가 왜 이렇게 지나가는 사람을 뚫어져라 쳐다보는 거야?,And on top of that` why are you staring holes through passersby like that?
그냥 좀 냅두면 안 되나...,Can't we just leave it be...
수고했어.,Good work.
괜찮아?,Are you okay?
응...,Yeah...
그냥 사람이 많으면 지친단 말이야...,I just get exhausted when there are too many people...
유독 요즘 사람이 많아서...하...,It’s unusually crowded these days... sigh...
확인하는데도 자꾸 시간이 걸리고...,It keeps taking so long just to check...
...,...
아...진짜 영원히 안나가고 함께 있고 싶다...,Ah... I really want to stay together forever and never leave...
물론 그렇게 방에만 있어도... 일은 꼬일대로 꼬여버리겠지...,Of course` if you keep holed up in your room like that... everything will only get more and more tangled...
응?,Huh?
아니야.\n그냥 너랑만 붙어있고 싶다고...,No.\nI just want to stay by your side—only you...
그게 날 위하는 거야.,That's in my best interest.
그러니까 어디 가지 말고 얌전히 있어줘 알았지?,So don't go anywhere—just stay put` got it?
사랑해.,I love you.
응....,Yeah....
부담스러워.,It's overwhelming.
...나 다녀올게.,...I'll be right back.
오늘따라 빨리 나가네?,Leaving early today?
응...뭐...,Yeah... what...
우연은 불안한지 손톱을 물어뜯으며 방을 나갔다.,Accidy left the room` nervously biting their nails.
...문이 닫혔다.\n방을 조사하자.,...The door closed.\nLet's search the room.
...오늘따라 무리했는지 몸이 무겁다.,...My body feels heavy—maybe I pushed myself too hard today.
아직 우연이 들어오지는 않았지만 눈이 감긴다.,Accidy hasn’t come in yet` but my eyes are closing.
철컥,Clack.
{PlayerName} 나 왔어!,{PlayerName}` I'm here!
...자?,...Shall we?
....잘 자.,....Sleep well.
...이젠 시간이....정말 얼마 안 남았네.,...Now... there's really not much time left.
...\n...\n...,...\n...\n...
...?,...?
날 떠나지 않는다고 약속했잖아.,You promised you wouldn’t leave me.
거짓말쟁이,Liar.
거짓말쟁이...,Liar...
거짓말쟁이...,Liar...
우연?,Accidy?
우연이 물을 웅얼거리며 바다 깊은 곳으로 들어간다.,Accidy` muttering to the water` descends into the depths of the sea.
우연을 막는다.,Stop Accidy.
우연을 부른다,Call out to Accidy
큰일 날 것 같은 기분에 우연을 멈추려 했지만 몸이 움직이지 않았다.,Sensing something terrible was about to happen` I tried to stop Accidy` but my body wouldn't move.
우연이 사라지는 것을 가만히 바라볼 수밖에 없었다.,I could do nothing but watch in silence as Accidy disappeared.
우연이 완전히 바다에 잡아먹혔다.,Accidy was completely devoured by the sea.
...\n...\n...,...\n...\n...
...이상한 꿈을 꿨다.,...I had a strange dream.
이곳에 오고 나서부터 자꾸 좋지 않은 꿈을 꾸는 기분이다.,Ever since I came here` it feels like I keep having bad dreams.
꿈자리가 사납단 말이지...,My dreams have been unsettling...
피곤해?,Are you tired?
언제부터 날 보고 있었는지 모르겠을 우연이 나를 걱정했다.,Accidy` who had been watching me for who knows how long` was worried about me.
응...꿈이 좀 ,Yeah... the dream was kind of...
꿈?,A dream?
꿈이란 이야기에 우연의 표정이 조금 미묘해졌다.,At the mention of it being a dream` Accidy’s expression grew a little hard to read.
...꿈 나도 싫어.,...I hate dreams too.
나...\n언제부턴가 악몽만 꾸거든...,I...\nFor a while now` I've only been having nightmares...
그래서 꿈을 바꾸려고 했더니...,So when I tried to change the dream...
나도 결국 꿈인지 모르게 되어버려서...,In the end` I couldn’t tell it was a dream either...
여긴 꿈이 아니지?,This isn't a dream` is it?
모르지...,I don't know...
아니야.,No.
...\n...\n...,...\n...\n...
피곤해?,Are you tired?
...아까 그것도 꿈인가.,...Was that earlier a dream too?
음...잘못 잤어?,Um... did you sleep funny?
이것도 꿈인가?,Is this a dream too?
...현실이지?,...This is real` right?
무슨 얘기야...?,What are you talking about...?
여긴 현실이야.,This is reality.
확실해 내가 아침에... 현실 확인을 했으니까...,I’m sure. This morning... I did a reality check...
현실 확인?,Reality check?
응 현실확인.\n보통 꿈에선 내가 생각한대로 모두 이루어진다고 하거든.,Yeah. Reality check.\nUsually` in dreams` everything happens just the way I think it will.
그리고...꿈과 현실이 비슷해져버리면...구별할 수 없어져버리니까...,And... once dreams and reality get too similar... you can't tell them apart anymore...
그래서 터무니없는 걸 상상해서 그게 실현되는지 보는 거야...,So you imagine something ridiculous and see if it comes true...
예를 들어 내가 박수를 쳤는데 방 불이 켜진다거나 하는...,For example` I clap my hands and the room lights turn on` or something like that...
정 불안하면 한 번 해봐...!\n심적으로 조금 괜찮아지더라고!,If you're really anxious` give it a try...!\nIt actually helped me feel a little better.
응...,Yeah...
시간이 벌써 이렇게 됐네...,It's already this late...
얌전히 있어줘\n오늘도 내가 가장 사랑해.,Stay still for me.\nI love you the most today` too.
나 나갔다 올게...!,I-I'll be right back...!
현실 확인...\n나도 그런 수단을 하나 만들어 두는 게 좋을까?,Reality check...\nShould I make one of those for myself` too?
...슬슬 돌아올 시간인데?,...Shouldn't they be back by now?
밤이 늦은 것 같은데도 우연이 돌아오질 않는다. ,Even though it's late at night` Accidy still hasn't come back.
평소엔 늘 비슷한 시간에 돌아오던 우연인데...,Normally` Accidy would come back around the same time` but...
혹시라도 오늘은 진짜 나가볼 수 있지 않을까?,Could I maybe actually get out today?
혹시라도 그냥 걱정되어서 나와봤다고 하면 되지 않을까?,Maybe I could just say I stepped out because I was worried?
혹시라도 걸려서 우연이 따라오면 그냥 도망가면 되지 않을까?,If we get spotted and Accidy comes after us` can't we just run for it?
...방에 있는 것 보단 무엇이든 더 나을 거 같은 기분이 들었다.,...I felt like anything would be better than staying in that room.
그렇게 다짐하고 방문에 손을 올리니 방문이 자연스레 열렸다.,With that resolve` I set my hand on the door` and it opened of its own accord.
요즘 그렇게 강박적으로 무언가를 확인하는 듯 했는데 방문은 제대로 확인을 못한 건가?,You’ve been obsessively checking everything lately—did you not check the door properly?
최근 계속 열려 있었던 걸까?,Has it been left open the whole time lately?
아님 그저 우연히 오늘 열려 있던 걸까?,Or was it just open by chance today?
...생각은 그만두고 우연이 돌아오기 전에 나가자.,...Stop thinking and let's get out before Accidy gets back.
우연이 돌아오면 또 근 몇 주는 못 나가게 될 수도 있으니...,If Accidy comes back` we might not be allowed out again for a few weeks...
우연의 방에서 나왔다.,I left Accidy's room.
예상은 했지만 밤에 나오니까 전보다 사람이 더 많다.,I figured as much` but now that I’m out at night` there are more people than before.
주변에 우연은....,Accidy is nearby....
....,....
우연이다. ,It's Accidy.
아직 이 주변에 있었구나,So you were still around here.
그렇게까지 열심히 확인할 만한 게 있었나?,Was there really anything worth checking that thoroughly?
잠시 우연을 조금 더 관찰하다가 우연이 방심했을 때를 틈타 도망가든...아니면...대화를 해볼지 결정하자.,Let's decide whether to watch Accidy a little longer and seize the chance to run when Accidy lets their guard down... or... try talking.
대화를 해볼지 결정하자.,Let's decide whether to talk.
혹시라도 우연에게 무슨 일이 있을지도 모르니까.,Just in case something happens to Accidy.
...이상한 꿈을 자주 꾸더니 나도 이상해진 것 같다.,...I keep having strange dreams; I think I'm getting strange too.
그래도 나중 가서 찝찝한 건 싫으니까...,Still` I don't want it to come back to haunt me later...
전과 같이 우연에게 들키지 않도록 조심하며 특이한 것들을 조사해보자.,As before` investigate anything unusual while taking care not to be spotted by Accidy.
우연을 이해할 단서를 더 모을 수 있을지도 모른다,I might be able to gather more clues to understand Accidy.
이런 식으로 의심가는 건물이나 사물 혹은 사람을 조사하면 되겠어.,Just investigate suspicious buildings` objects` or people like this.
우연이 앞을 볼 때까지 [뒤 돌아있는 상태를 유지]하고 있자,Let's [keep facing away] until Accidy looks forward.
[24시간 응급실]이 있는 대형 병원의 전단지를 발견했다.\n굳이 안버린 이유가 있을까?,I found a flyer from a large hospital with a [24-hour emergency room].\nWas there a reason it wasn’t thrown away?
잔뜩 찢긴 바다 포스터다.\n멋대로 찢었다가 다시 [스티커]들을 붙여뒀다.,A poster of the ocean` torn to shreds.\nSomeone ripped it up on a whim and then patched it back together with [stickers].
일전에 발견한 다이어리이다\n비밀번호는 그대로 내 생일이었다.\n일기 내용을 보니 우연의 정신이 좋아보이지 않는다.,It's the diary I found earlier\nThe password was still my birthday.\nFrom the entries` Accidy's mental state doesn't look good.
유독 표지가 특이한 책이다.\n꿈에 대하여 적혀져 있다.\n[자주 읽은 듯] 책에 흔적이 남아있었다.,A book with a strikingly unusual cover.\nIt contains writings on dreams.\n[Looks well-read] The book shows signs of use.
포스터에 붙은 별 모양 스티커들이다.\n어떤 모양을 나타내는 것 같기도 하다.,Star-shaped stickers on the poster.\nThey almost look like they're forming a shape.
별모양 구슬이 있는 특이한 반짇고리이다.\n이 반짇고리에서 실과 바늘을 꺼냈다.\n우연은 이걸 사용해서 [곰인형들을 리폼하거나 고치는 듯] 하다.,
잠금이 걸려있는 틴케이스이다.\n그 안에서는 바다를 향하는 기차표 두 개가 나왔다.,It’s a locked tin case.\nInside were two train tickets bound for the sea.
전 외출때 사온 것 같은 뜯지 않은 쇼핑백들이다.\n전부 내가 평소 좋아하던 옷들이다.,Unopened shopping bags that look like they’re from the last time I went out.\nThey’re all clothes I used to like.
꿈에 대해 작성한 일기인 듯 하다.\n하지만 꿈 일기라기엔 현실과 꿈을 잘 구별하지 못하는 것 같다.,It seems to be a diary written about dreams.\nBut for a dream diary` they don't seem to distinguish reality from dreams very well.
처방약이다.\n역시 약이 없으면 일상생활이 힘든건가?,It’s prescription medicine.\nIs it really that hard to get through everyday life without meds` after all?
저번 외출과 같이 이번에도 우연은 신호등을 바라봤다.\n잠시 화가 나는 듯한 표정을 지었다.,As on the previous outing` Accidy stared at the traffic light again.\nFor a moment` an angry expression crossed their face.
테마카페 호객행위를 하는 사람을 자연스레 피했다.\n지겹다는 표정인 걸 봐선 자주 경험한 듯 하다.,I instinctively sidestepped the theme café tout.\nJudging by the fed-up look on their face` they’ve dealt with this a lot.
편의점에서 술을 포함해서 이것 저것 많이 산 듯하다.\n혼자는 저만큼 다 못먹을 것 같은데...,"Looks like they bought a lot of odds and ends at the convenience store` including alcohol.\nIf they were alone` I doubt they could finish all that..."""
가출 청소년들이 우연에게 말을 걸었다.\n우연은 편의점에서 산 음식들을 조금 나눠주었다.,Runaway youths struck up a conversation with Accidy.\nAccidy shared some of the food bought at the convenience store.
우연은 내 스타일의 옷가게에 들어갔다 나왔다.\n집에 있는 것과 같은 브랜드인 것을 보아 내 옷을 산 것 같다.,Accidy went into a clothing store that’s my style and came back out.\nJudging by the brand being the same as what I have at home` it seems he bought my clothes.
경찷이 우연을 보며 혀를 찼다.\n우연은 경찰관의 시선이 불편한 듯 조금 떨었다.,The officer clicked his tongue at Accidy.\nAccidy trembled slightly` uneasy under the officer’s gaze.
담배피는 사람들이 담배에 불을 붙히자 우연은 몸을 크게 떨며 무서워했다.\n불에 트라우마가 있어보인다,As the smokers lit their cigarettes` Accidy shuddered violently` terrified.\nThey seem traumatized by fire.
덩치가 큰 클럽 가드 여러명이 우연 주변에 서 있는다.\n우연은 덩치 큰 사람을 무서워하는 것 같았다.,Several burly club bouncers were standing around Accidy.\nAccidy seemed to be afraid of big men.
옷장 속에서 발견한 또 다른 다이어리다.,Another diary found in the closet.
꿈일기...?,Dream diary...?
이건 자물쇠가 걸려있네....,It's locked....
[열쇠]가 필요해.,I need a [key].
철컥,Clack.
이 열쇠가 맞았나보다.,Looks like this was the right key.
꿈에 대한 내용들이 쓰여져 있는 것 같다.,It seems to contain writings about dreams.
....\n현실과 꿈을 혼동하는 것 같아...,....\nI think I'm mixing up reality and dreams...
우연이 자신의 꿈에 대해 작성해둔 꿈 일기를 발견했다.\n몇몇 내용은 꿈이 아닌 내용들이 섞여있다.\n꿈과 현실을 분간하지 못하는 것 같다.,Accidy discovered the dream journal they had kept about their own dreams.\nSome entries have non-dream content mixed in.\nIt seems they can't distinguish between dream and reality.
팔다리가 리폼되어있는 곰인형이다.,It's a teddy bear with altered limbs.
...곰인형을 다 뜯고 다시 봉제해둔 것 같다.,...It looks like someone tore the teddy bear open and stitched it back together.
굳이 이렇게까지 곰인형을 리폼해두는 이유가 있나...,"Why go to such lengths to refashion a teddy bear...?"""
팔과 다리가 리폼되어있는 곰인형.\n이유는 모르겠으나 하나하나 리폼해두는 듯 하다.,
11월 1일,November 1
또 죽는 꿈인건가.,Is this another dream where I die?
현실이었나?,Was it real?
꿈에서 죽은건지 현실에서 죽은건지 분간이 가지 않는다….,I can’t tell if I died in a dream or in reality….
반복되는 악몽이 싫다.\n꿈인데도 왜 마음대로 조절이 안되지.,I hate these recurring nightmares.\nEven though it's a dream` why can't I control it?
전부 다 모르겠다.,I don't know anything.
우선 잊지않기위해 적어두자.\n점점 무뎌져가는 것 같아.,First` I'll write it down so I don't forget.\nI feel like I'm growing more and more numb.
6월 16일,June 16
먼 과거의 꿈을 꿨다. ,I dreamed of the distant past.
생일엔 늘 이렇게 된다. ,On my birthday` it always turns out like this.
이번엔 내가 집에 불을 질렀다.,This time` I set the house on fire.
이거면 됐다. 모두 죽어버려.\n당신들같은 사람들은 필요 없어.,This is enough. All of you` just die.\nI have no use for people like you.
날 사랑해주지도 않고.\n차라리 죽어버려.,You don’t even love me.\nJust die already.
나는 악마가 아니야.,I'm not a demon.
...다음 번에 같은 꿈을 꾸면 그때는 나를 사랑한다고 말하라고 해야지.,...If I have the same dream again` I’ll make you say you love me.
10월 21일,October 21
{PlayerName}이(가) 날 따라오길래 함께 집으로 돌아오는 꿈을 꿨다. ,I had a dream that {PlayerName} was following me` so we came home together.
{PlayerName}은(는) 집에 있을테니까 꿈이 맞을거야.,Since {PlayerName} should be at home` this must be a dream.
거기다 이렇게 다정하게 날 데려와주다니...,And to top it off` you were so kind as to bring me here...
바랬더니 데리러 왔나봐.,I wished for it` and it seems you came to take me away.
꿈은 편리하구나.,How convenient dreams are.
그래도...괜히 밖에 나온 {PlayerName}을(를) 보니까 불안하네...,Still... seeing {PlayerName} out here for no reason makes me uneasy...
깨고나면 한동안은 {PlayerName}(이)랑 같이 있어야겠어.,I'd better stay with {PlayerName} for a while after I wake up.
책장에 책들이 빽빽하게 꽂혀있다. ,Books are tightly packed on the bookshelf.
